ds_name,gr_name,metadata,metadata_link,endpoint,virtuosodb,virtuosodb_link,loaded,log,log_link,original,original_link,released,version
Dataset of NBRC bioresource,http://purl.jp/bio/103/nite/culture/,metadata,https://integbio.jp/rdf/dataset/nbrc, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2020-08-31,release_20200831
Dataset of WURCS-RDF,(see metadata),metadata,https://integbio.jp/rdf/dataset/wurcs, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2015-09-30,0.2
DisGeNet,http://rdf.integbio.jp/dataset/disgenet,metadata,https://integbio.jp/rdf/dataset/disgenet, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2020-06-03,v7.0.0
FAMSBASE GPCR,http://fams.bio.chuo-u.ac.jp/GPCR/rdf/,metadata,https://integbio.jp/rdf/dataset/famsbase, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2016-03-24,
GGDonto,http://jcggdb.jp/rdf/diseases/ggdonto,metadata,https://integbio.jp/rdf/dataset/ggdonto, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2017-01-25,v.1.0
GlyTouCan,http://rdf.glycoinfo.org/glytoucan,metadata,https://integbio.jp/rdf/dataset/glytoucan, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2015-09-04,Ver1.0
GlycoEpitope,http://rdf.glycoinfo.org/glycoepitope,metadata,https://integbio.jp/rdf/dataset/glycoepitope, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2015-11-18,version 3
HGNC symbol report,http://rdf.integbio.jp/dataset/hgnc,metadata,https://integbio.jp/rdf/dataset/hgnc, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2021-12-23,
Integbio Database Catalog/RDF,(see metadata),metadata,https://integbio.jp/rdf/dataset/dbcatalog, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2021-08-24,
Linked ICGC Dataset,http://icgc.link/release_20,metadata,https://integbio.jp/rdf/dataset/icgc, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2016-01-04,release_20
MBGD RDF,(see metadata),metadata,https://integbio.jp/rdf/dataset/mbgd, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2015-06-20,2015-01
Metadata of JCM resources,https://metadb.riken.jp/metadb/db/rikenbrc_jcm_microbe,metadata,https://integbio.jp/rdf/dataset/rikenbrc_jcm_microbe, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2019-06-04,
NANDO,http://nanbyodata.jp/ontology/nando,metadata,https://integbio.jp/rdf/dataset/nando, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2020-11-11,0.4.3
NBDC NikkajiRDF,(see metadata),metadata,https://integbio.jp/rdf/dataset/nikkaji, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2022-02-01,
Nucleic Acid Drug Database,http://purl.jp/bio/18/nadd/,metadata,https://integbio.jp/rdf/dataset/mnadd, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2019-05-14,
Open TG-GATEs,http://rdf.integbio.jp/dataset/open-tggates,metadata,https://integbio.jp/rdf/dataset/open-tggates, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2017-03-17,
PAConto,http://jcggdb.jp/rdf/diseases/paconto,metadata,https://integbio.jp/rdf/dataset/paconto, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2016-06-01,v.1.0
PGDBj Ortholog database RDF,http://pgdbj.jp/od/,metadata,https://integbio.jp/rdf/dataset/pgdbj, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2016-07-26,1.57.0
PubCaseFinder RDF,https://pubcasefinder.dbcls.jp/rdf,metadata,https://integbio.jp/rdf/dataset/pubcasefinder, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2021-05-18,1.3
Quanto,http://quanto.dbcls.jp,metadata,https://integbio.jp/rdf/dataset/quanto, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2016-07-12,0.1.2
RefEx RDF,(see metadata),metadata,https://integbio.jp/rdf/dataset/refex, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2017-04-07,
SSBD: Meta-information of quantitative data and microscopy images,http://metadb.riken.jp/db/SSBD,metadata,https://integbio.jp/rdf/dataset/ssbd, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2018-03-24,SSBD31_20171218 release 20180324
jPOST database RDF,http://jpost.org/graph/database,metadata,https://integbio.jp/rdf/dataset/jpost, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2020-06-09,202006
LigandBox,http://purl.jp/bio/5/ligandbox/,metadata,http://integbio.jp/rdf/dataset/ligandbox, https://integbio.jp/rdf/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/primary/LATEST,2022-03-08,,,,,2021-05-25,
BioPortal,(see load log),,,https://integbio.jp/rdf/bioportal/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/bioportal/LATEST,2022-01-04,log,https://integbio.jp/rdf/mirror/log/bioportal,original,https://bioportal.bioontology.org/,2021-12-24,
KG-COVID-19,http://kg-hub.berkeleybop.io/kg-covid-19,,,https://integbio.jp/rdf/covid/sparql,,,2021-01-18,,,,,,
PheKnowLator,https://github.com/callahantiff/PheKnowLator/Full-OWL-KG,,,https://integbio.jp/rdf/covid/sparql,,,2021-01-18,,,,,,
PheKnowLator (Full-OWL)	,https://github.com/callahantiff/PheKnowLator/OWL-NETS-KG,,,https://integbio.jp/rdf/covid/sparql,,,2021-01-18,,,,,,
UniProt/COVID-19,https://covid-19-sparql.expasy.org/uniprot,,,https://integbio.jp/rdf/covid/sparql,,,2021-01-18,,,,,,
DDBJ ,http://rdf.integbio.jp/dataset/ddbj,metadata,https://integbio.jp/rdf/dataset/ddbj,https://integbio.jp/rdf/ddbj/sparql,,,2016-07-30,,,,,2016-07-30,105
BioModels,,,,https://integbio.jp/rdf/ebi/sparql,,,2021-04-19,log,https://integbio.jp/rdf/mirror/log/ebi,original,ftp://ftp.ebi.ac.uk/pub/databases/RDF/biomodels/,,31
BioSamples,,,,https://integbio.jp/rdf/ebi/sparql,,,2021-04-19,log,https://integbio.jp/rdf/mirror/log/ebi,original,ftp://ftp.ebi.ac.uk/pub/databases/biosamples/biosd2rdf/,2019,
ChEBI,http://rdf.ebi.ac.uk/dataset/chebi,,,https://integbio.jp/rdf/ebi/sparql,,,2021-04-19,log,https://integbio.jp/rdf/mirror/log/ebi,original,ftp://ftp.ebi.ac.uk/pub/databases/chebi/ontology/chebi.owl.gz,2021-04-01,
ChEMBL,,,,https://integbio.jp/rdf/ebi/sparql,,,2021-04-19,log,https://integbio.jp/rdf/mirror/log/ebi,original,ftp://ftp.ebi.ac.uk/pub/databases/chembl/ChEMBL-RDF/latest/,,28
Ensembl,,,,https://integbio.jp/rdf/ebi/sparql,,,2021-04-19,log,https://integbio.jp/rdf/mirror/log/ebi,original,ftp://ftp.ensembl.org/pub/current_rdf/,,102
Ensembl(GRCh37),http://rdf.integbio.jp/dataset/ensembl_grch37,,,https://integbio.jp/rdf/ebi/sparql,,,2021-04-19,log,https://integbio.jp/rdf/mirror/log/ebi,original,https://togovar.biosciencedbc.jp/public/virtuoso/ensembl_grch37/,2020-10-23,
Expression Atlas,,,,https://integbio.jp/rdf/ebi/sparql,,,2021-04-19,log,https://integbio.jp/rdf/mirror/log/ebi,original,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/gxa/rdf/,2017-05-18,
GWAS Catalog,,,,https://integbio.jp/rdf/ebi/sparql,,,2021-04-19,log,https://integbio.jp/rdf/mirror/log/ebi,,,,
Ontology Lookup Service (OLS)	,,,,https://integbio.jp/rdf/ebi/sparql,,,2021-04-19,log,https://integbio.jp/rdf/mirror/log/ebi,original,ftp://ftp.ebi.ac.uk/pub/databases/spot/ols/ols_rdf/,2021-04-01,
Reactome,,,,https://integbio.jp/rdf/ebi/sparql,,,2021-04-19,log,https://integbio.jp/rdf/mirror/log/ebi,original,ftp://ftp.ebi.ac.uk/pub/databases/RDF/reactome/,,71
DBKERO RDF,http://rdf.integbio.jp/dataset/kero/Cancer_Cell_Line,metadata,https://integbio.jp/rdf/dataset/kero,https://integbio.jp/rdf/kero/sparql,,,2020-06-10,,,,,2020-06-10,release_010
MeSH,,,,https://integbio.jp/rdf/mesh/sparql,,,2021-04-15,log,https://integbio.jp/rdf/mirror/log/mesh,original,ftp://ftp.nlm.nih.gov/online/mesh/rdf/,2021-04,
ClinVar,http://rdf.integbio.jp/dataset/clinvar,metadata,https://integbio.jp/rdf/dataset/clinvar,https://integbio.jp/rdf/ncbi/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/ncbi/LATEST,2022-02-25,,,,,2022-01-18,
MedGen,http://rdf.integbio.jp/dataset/medgen,metadata,https://integbio.jp/rdf/dataset/medgen,https://integbio.jp/rdf/ncbi/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/ncbi/LATEST,2022-02-25,,,,,2022-01-31,
Nlm-catalog,http://rdf.integbio.jp/dataset/nlm_catalog,metadata,https://integbio.jp/rdf/dataset/nlm-catalog,https://integbio.jp/rdf/ncbi/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/ncbi/LATEST,2022-02-25,,,,,2022-01-31,
